id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
634108143238179968,Rental unit in Albany · ★4.96 · 3 bedrooms · 3 beds · 1 bath,119340359,Lori,,SIXTH WARD,42.65323,-73.76797,Entire home/apt,167,2,74,2023-09-04,4.59,1,1,56,
636902252641496970,Home in Albany · ★4.86 · 3 bedrooms · 3 beds · 1 shared bath,376794541,Neha,,ELEVENTH WARD,42.6635364,-73.77782359999999,Private room,47,10,21,2023-08-16,1.44,3,344,13,
637104152785938471,Rental unit in Albany · ★4.39 · 2 bedrooms · 2 beds · 1 bath,1176120,Julia,,THIRD WARD,42.65802,-73.756165,Entire home/apt,99,1,109,2023-10-01,6.74,3,87,80,
642909221333428607,Rental unit in Albany · ★4.80 · 1 bedroom · 1 bed · 1 bath,462767507,Joshua,,SIXTH WARD,42.65427,-73.76455,Entire home/apt,102,3,20,2023-09-19,1.40,3,339,15,
646570081594519710,Condo in Albany · 2 bedrooms · 2 beds · 1 bath,172658781,Jessica,,THIRTEENTH WARD,42.66897,-73.79653,Entire home/apt,100,60,0,,,3,296,0,
649973892551492641,Rental unit in Albany · ★4.60 · Studio · 1 bed · 1 bath,353498132,Michael,,SECOND WARD,42.64625,-73.75663,Entire home/apt,89,14,5,2023-08-05,0.37,5,272,3,
652889455649176778,Rental unit in Albany · ★4.61 · 2 bedrooms · 3 beds · 2 baths,426253886,Aggie,,SECOND WARD,42.64595,-73.76196,Entire home/apt,102,1,36,2023-09-17,2.58,2,343,25,
654302747324294105,Rental unit in Albany · ★4.68 · 1 bedroom · 1 bed · 1 bath,47625981,Linda,,FOURTH WARD,42.65752,-73.74743,Entire home/apt,116,1,34,2023-09-06,2.31,13,363,23,
656759629828215245,Rental unit in Albany · 1 bedroom · 5 beds · 1 bath,39656001,Urbangem,,SECOND WARD,42.64493,-73.75725,Entire home/apt,275,5,0,,,6,365,0,
657130517248738038,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,166246610,Shawn,,THIRD WARD,42.65795,-73.75092,Entire home/apt,101,4,11,2023-09-15,0.77,2,259,8,
